ID;latitude;longitude
A542B6;66.991;-52.362
A542AA;66.991;-52.36
779463;66.991;-52.361
7794C9;66.991;-52.361
A542A9;67;-52.351
A542AB;66.999;-52.344
77A596;66.999;-52.345
7795CD;67;-52.348
7791B7;67.001;-52.351
7797D2;67;-52.357
77943E;66.999;-52.356
77960B;67;-52.361
779AA8;67.001;-52.355
77998A;67.001;-52.347
7797B5;67.008;-52.34
A542B5;67.009;-52.339
7.80E+04;67.012;-52.341
77951D;67.013;-52.35
779AF4;67.013;-52.351
779946;67.009;-52.339
A542B0;67.009;-52.353
7790F9;66.99;-52.359
779992;66.991;-52.369
779181;66.992;-52.371
A543B7;67.085;-50.329
779916;67.085;-50.329
779188;67.085;-50.329
7795B4;67.086;-50.33
779526;67.087;-50.33
779A03;67.084;-50.328
A542AD;66.983;-50.889
7795D5;66.983;-50.889
77966A;67.006;-50.67
779BOB;67.007;-50.669
779AAC;67.007;-50.674
A542B1;67.007;-50.672
779A62;67.152;-50.051
77977641;67.151;-50.05
A542AC;67.146;-50.104
77968??;67.146;-50.106
A542B4;67.143;-50.134
779BOB41;67.143;-50.133
A542AE;67.09;-50.288
77967D;67.095;-53.309
7793F8;67.093;-53.296
779A72;67.094;-53.295
779526_2;67.095;-53.294
7799C9;67.095;-53.294
A542B2;67.095;-53.293
A542A6;67.093;-53.286
77946A;67.092;-53.27
779B72;67.094;-53.27
779BBC;67.095;-53.269
???;67.096;-53.269
779996;67.09;-53.254
7797D4;67.088;-53.244
A542A7;67.089;-53.243
A542AF;67.089;-53.245
779506;67.111;-53.37
779117;67.113;-53.37
A53BB6;66.958;-53.665
A53BA9;66.958;-53.672
A53BB8;66.958;-53.673
A53BAB;66.961;-53.653
A53BB7;66.95;-53.691
A53BA8;66.926;-53.656
A53BB5;66.962;-53.718
A53BBA;66.962;-53.719
A53BAC;66.958;-53.674
A542A8;66.966;-53.578
779B66;66.966;-53.577
779616;66.965;-53.578
77915A;66.963;-53.577
779A141;66.957;-53.688
7796641;66.957;-53.684
7790D41;66.96;-53.689
77949C41;66.961;-53.691
77996441;66.961;-53.7
7795441;66.964;-53.7
77928341;66.964;-53.702
77993AD41;66.957;-53.688
77942941;66.959;-53.696
6436FF;66.96;-53.706
643653;66.96;-53.712
643709;66.959;-53.675
6430EE;66.958;-53.673
6432B9;66.957;-53.671
VAI-1;69.80625;-52.40315
A53ADF;69.82922;-52.487558
A53AE0;70.2748;-52.77167
A53AE1;70.288515;-52.737866
A53AE2;70.274998;-52.771934
A53AE3;70.28905;-52.740845
A53AE4;69.830211;-52.496608
A53AE5;69.829827;-52.488251
A53AE6;70.288396;-52.737157
A53AE7;70.274997;-52.772008
A53AE8;69.829872;-52.486678
A53AE9;70.287207;-52.747393
A53AEA;69.844703;-52.446641
A53AEB;69.84502;-52.443573
A53AEC;70.286524;-52.744855
A53AED;70.287624;-52.749818
A53CE5;69.83248;-52.52509
A53E3E;69.82367;-52.52067
A53E3F;69.8329;-52.52002
A53E41;69.83212;-52.52191
A53E42;69.83164;-52.52202
